State_Short,State_Code,State_Name,Value,Year,Metric
RO,11.0,Rondônia,734.0,1990,Cases
AC,12.0,Acre,356.0,1990,Cases
AM,13.0,Amazonas,1926.0,1990,Cases
RR,14.0,Roraima,144.0,1990,Cases
PA,15.0,Pará,3202.0,1990,Cases
AP,16.0,Amapá,199.0,1990,Cases
TO,17.0,Tocantins,424.0,1990,Cases
Região Norte,,,6985.0,1990,Cases
MA,21.0,Maranhão,3948.0,1990,Cases
PI,22.0,Piauí,1633.0,1990,Cases
CE,23.0,Ceará,4636.0,1990,Cases
RN,24.0,Rio Grande do Norte,1352.0,1990,Cases
PB,25.0,Paraíba,1411.0,1990,Cases
PE,26.0,Pernambuco,3728.0,1990,Cases
AL,27.0,Alagoas,1258.0,1990,Cases
SE,28.0,Sergipe,664.0,1990,Cases
BA,29.0,Bahia,7056.0,1990,Cases
Região Nordeste,,,25686.0,1990,Cases
MG,31.0,Minas Gerais,6825.0,1990,Cases
ES,32.0,Espírito Santo,1504.0,1990,Cases
RJ,33.0,Rio de Janeiro,5558.0,1990,Cases
SP,35.0,São Paulo,16150.0,1990,Cases
Região Sudeste,,,30037.0,1990,Cases
PR,41.0,Paraná,2373.0,1990,Cases
SC,42.0,Santa Catarina,1229.0,1990,Cases
RS,43.0,Rio Grande do Sul,4435.0,1990,Cases
Região Sul,,,8037.0,1990,Cases
MS,50.0,Mato Grosso do Sul,968.0,1990,Cases
MT,51.0,Mato Grosso,1021.0,1990,Cases
GO,52.0,Goiás,1163.0,1990,Cases
DF,53.0,Distrito Federal,675.0,1990,Cases
Região Centro-Oeste,,,3827.0,1990,Cases
BR,76.0,Brasil***,74572.0,1990,Cases
RO,11.0,Rondônia,1069626.0,1990,Population
AC,12.0,Acre,406275.0,1990,Population
AM,13.0,Amazonas,2037078.0,1990,Population
RR,14.0,Roraima,203977.0,1990,Population
PA,15.0,Pará,4798037.0,1990,Population
AP,16.0,Amapá,278178.0,1990,Population
TO,17.0,Tocantins,902074.0,1990,Population
Região Norte,,,9695245.0,1990,Population
MA,21.0,Maranhão,4838464.0,1990,Population
PI,22.0,Piauí,2538583.0,1990,Population
CE,23.0,Ceará,6260651.0,1990,Population
RN,24.0,Rio Grande do Norte,2364712.0,1990,Population
PB,25.0,Paraíba,3158757.0,1990,Population
PE,26.0,Pernambuco,7031080.0,1990,Population
AL,27.0,Alagoas,2461858.0,1990,Population
SE,28.0,Sergipe,1457302.0,1990,Population
BA,29.0,Bahia,11630752.0,1990,Population
Região Nordeste,,,41742159.0,1990,Population
MG,31.0,Minas Gerais,15510734.0,1990,Population
ES,32.0,Espírito Santo,2543877.0,1990,Population
RJ,33.0,Rio de Janeiro,12658679.0,1990,Population
SP,35.0,São Paulo,30945297.0,1990,Population
Região Sudeste,,,61658587.0,1990,Population
PR,41.0,Paraná,8368181.0,1990,Population
SC,42.0,Santa Catarina,4452150.0,1990,Population
RS,43.0,Rio Grande do Sul,9004520.0,1990,Population
Região Sul,,,21824851.0,1990,Population
MS,50.0,Mato Grosso do Sul,1739995.0,1990,Population
MT,51.0,Mato Grosso,1939896.0,1990,Population
GO,52.0,Goiás,3930620.0,1990,Population
DF,53.0,Distrito Federal,1559403.0,1990,Population
Região Centro-Oeste,,,9169914.0,1990,Population
BR,76.0,Brasil***,144090756.0,1990,Population
RO,11.0,Rondônia,68.62211651549234,1990,Incidence
AC,12.0,Acre,87.6253768998831,1990,Incidence
AM,13.0,Amazonas,94.54718965105901,1990,Incidence
RR,14.0,Roraima,70.59619466900679,1990,Incidence
PA,15.0,Pará,66.73562542348049,1990,Incidence
AP,16.0,Amapá,71.53692959184407,1990,Incidence
TO,17.0,Tocantins,47.00279577950368,1990,Incidence
Região Norte,,,72.04562649009901,1990,Incidence
MA,21.0,Maranhão,81.59614290816259,1990,Incidence
PI,22.0,Piauí,64.32722507004893,1990,Incidence
CE,23.0,Ceará,74.049807280425,1990,Incidence
RN,24.0,Rio Grande do Norte,57.17398144044603,1990,Incidence
PB,25.0,Paraíba,44.66946966797383,1990,Incidence
PE,26.0,Pernambuco,53.021726391962545,1990,Incidence
AL,27.0,Alagoas,51.09961663101608,1990,Incidence
SE,28.0,Sergipe,45.56365118554699,1990,Incidence
BA,29.0,Bahia,60.66675654334303,1990,Incidence
Região Nordeste,,,61.53491006538498,1990,Incidence
MG,31.0,Minas Gerais,44.00178611792324,1990,Incidence
ES,32.0,Espírito Santo,59.12235536545202,1990,Incidence
RJ,33.0,Rio de Janeiro,43.90663512361756,1990,Incidence
SP,35.0,São Paulo,52.18886734226529,1990,Incidence
Região Sudeste,,,48.715031371056234,1990,Incidence
PR,41.0,Paraná,28.357417221257524,1990,Incidence
SC,42.0,Santa Catarina,27.60464045461182,1990,Incidence
RS,43.0,Rio Grande do Sul,49.25304180567093,1990,Incidence
Região Sul,,,36.82499367349633,1990,Incidence
MS,50.0,Mato Grosso do Sul,55.63234377110278,1990,Incidence
MT,51.0,Mato Grosso,52.631687471905714,1990,Incidence
GO,52.0,Goiás,29.588207458365346,1990,Incidence
DF,53.0,Distrito Federal,43.285795910358004,1990,Incidence
Região Centro-Oeste,,,41.73430634136809,1990,Incidence
BR,76.0,Brasil***,51.75349347185048,1990,Incidence
RO,11.0,Rondônia,729.0,1991,Cases
AC,12.0,Acre,332.0,1991,Cases
AM,13.0,Amazonas,1970.0,1991,Cases
RR,14.0,Roraima,211.0,1991,Cases
PA,15.0,Pará,3180.0,1991,Cases
AP,16.0,Amapá,188.0,1991,Cases
TO,17.0,Tocantins,333.0,1991,Cases
Região Norte,,,6943.0,1991,Cases
MA,21.0,Maranhão,3568.0,1991,Cases
PI,22.0,Piauí,1629.0,1991,Cases
CE,23.0,Ceará,4214.0,1991,Cases
RN,24.0,Rio Grande do Norte,1210.0,1991,Cases
PB,25.0,Paraíba,1266.0,1991,Cases
PE,26.0,Pernambuco,3714.0,1991,Cases
AL,27.0,Alagoas,1408.0,1991,Cases
SE,28.0,Sergipe,621.0,1991,Cases
BA,29.0,Bahia,7601.0,1991,Cases
Região Nordeste,,,25231.0,1991,Cases
MG,31.0,Minas Gerais,6255.0,1991,Cases
ES,32.0,Espírito Santo,1419.0,1991,Cases
RJ,33.0,Rio de Janeiro,15792.0,1991,Cases
SP,35.0,São Paulo,17611.0,1991,Cases
Região Sudeste,,,41077.0,1991,Cases
PR,41.0,Paraná,2527.0,1991,Cases
