State_Short,State_Code,State_Name,Value,Year,Metric
RO,11.0,Rondônia,38.0,2000,Deaths
AC,12.0,Acre,20.0,2000,Deaths
AM,13.0,Amazonas,112.0,2000,Deaths
RR,14.0,Roraima,11.0,2000,Deaths
PA,15.0,Pará,131.0,2000,Deaths
AP,16.0,Amapá,8.0,2000,Deaths
TO,17.0,Tocantins,11.0,2000,Deaths
Região Norte,,,331.0,2000,Deaths
MA,21.0,Maranhão,116.0,2000,Deaths
PI,22.0,Piauí,63.0,2000,Deaths
CE,23.0,Ceará,208.0,2000,Deaths
RN,24.0,Rio Grande do Norte,69.0,2000,Deaths
PB,25.0,Paraíba,60.0,2000,Deaths
PE,26.0,Pernambuco,430.0,2000,Deaths
AL,27.0,Alagoas,67.0,2000,Deaths
SE,28.0,Sergipe,33.0,2000,Deaths
BA,29.0,Bahia,435.0,2000,Deaths
Região Nordeste,,,1481.0,2000,Deaths
MG,31.0,Minas Gerais,326.0,2000,Deaths
ES,32.0,Espírito Santo,70.0,2000,Deaths
RJ,33.0,Rio de Janeiro,964.0,2000,Deaths
SP,35.0,São Paulo,1490.0,2000,Deaths
Região Sudeste,,,2850.0,2000,Deaths
PR,41.0,Paraná,240.0,2000,Deaths
SC,42.0,Santa Catarina,55.0,2000,Deaths
RS,43.0,Rio Grande do Sul,336.0,2000,Deaths
Região Sul,,,631.0,2000,Deaths
MS,50.0,Mato Grosso do Sul,69.0,2000,Deaths
MT,51.0,Mato Grosso,83.0,2000,Deaths
GO,52.0,Goiás,68.0,2000,Deaths
DF,53.0,Distrito Federal,20.0,2000,Deaths
Região Centro-Oeste,,,240.0,2000,Deaths
BR,76.0,Brasil,5533.0,2000,Deaths
RO,11.0,Rondônia,1379787.0,2000,Population
AC,12.0,Acre,557526.0,2000,Population
AM,13.0,Amazonas,2812557.0,2000,Population
RR,14.0,Roraima,324397.0,2000,Population
PA,15.0,Pará,6192307.0,2000,Population
AP,16.0,Amapá,477032.0,2000,Population
TO,17.0,Tocantins,1157098.0,2000,Population
Região Norte,,,12900704.0,2000,Population
MA,21.0,Maranhão,5651475.0,2000,Population
PI,22.0,Piauí,2843278.0,2000,Population
CE,23.0,Ceará,7430661.0,2000,Population
RN,24.0,Rio Grande do Norte,2776782.0,2000,Population
PB,25.0,Paraíba,3443825.0,2000,Population
PE,26.0,Pernambuco,7918344.0,2000,Population
AL,27.0,Alagoas,2822621.0,2000,Population
SE,28.0,Sergipe,1784475.0,2000,Population
BA,29.0,Bahia,13070250.0,2000,Population
Região Nordeste,,,47741711.0,2000,Population
MG,31.0,Minas Gerais,17891494.0,2000,Population
ES,32.0,Espírito Santo,3097232.0,2000,Population
RJ,33.0,Rio de Janeiro,14391282.0,2000,Population
SP,35.0,São Paulo,37032403.0,2000,Population
Região Sudeste,,,72412411.0,2000,Population
PR,41.0,Paraná,9563458.0,2000,Population
SC,42.0,Santa Catarina,5356360.0,2000,Population
RS,43.0,Rio Grande do Sul,10187798.0,2000,Population
Região Sul,,,25107616.0,2000,Population
MS,50.0,Mato Grosso do Sul,2078001.0,2000,Population
MT,51.0,Mato Grosso,2504353.0,2000,Population
GO,52.0,Goiás,5003228.0,2000,Population
DF,53.0,Distrito Federal,2051146.0,2000,Population
Região Centro-Oeste,,,11636728.0,2000,Population
BR,76.0,Brasil,169799170.0,2000,Population
RO,11.0,Rondônia,2.7540482697691746,2000,Incidence
AC,12.0,Acre,3.587276647187754,2000,Incidence
AM,13.0,Amazonas,3.982141517487468,2000,Incidence
RR,14.0,Roraima,3.3909068209632025,2000,Incidence
PA,15.0,Pará,2.115528186829238,2000,Incidence
AP,16.0,Amapá,1.6770363413775178,2000,Incidence
TO,17.0,Tocantins,0.9506541364689941,2000,Incidence
Região Norte,,,2.5657514504634786,2000,Incidence
MA,21.0,Maranhão,2.0525614994315644,2000,Incidence
